Visibility,Time,Unexpected_beh,Early_Violation
0,5.698260307312012,0,0
0,5.480511426925659,0,0
0,5.315168619155884,5,0
0,5.154146671295166,0,0
0,6.87450647354126,0,0
0,5.439814329147339,31,0
0,8.091902732849121,0,0
0,5.181189298629761,0,0
0,5.08495831489563,0,0
0,5.415717840194702,0,0
0,5.175520896911621,6,6
0,6.13185715675354,24,24
0,6.796598672866821,0,0
0,6.873203992843628,14,14
0,5.3509392738342285,0,0
0,4.954935312271118,0,0
0,5.948010444641113,0,0
0,5.851706266403198,0,0
0,6.3032238483428955,0,0
0,7.745336294174194,4,4
0,5.7089831829071045,0,0
0,6.250108480453491,0,0
0,6.344474792480469,0,0
0,7.04669451713562,2,0
0,4.739300489425659,8,8
0,6.632188558578491,0,0
0,5.159765005111694,0,0
0,6.117818355560303,0,0
0,5.065697193145752,0,0
0,6.494251012802124,0,0
0,6.7626283168792725,0,0
0,5.245619773864746,0,0
0,6.505097150802612,0,0
0,5.369859933853149,0,0
0,6.8702003955841064,11,11
0,5.379193305969238,0,0
0,5.29049825668335,0,0
0,5.94989275932312,46,46
0,4.766172170639038,0,0
0,5.4569783210754395,0,0
0,4.711140155792236,0,0
0,5.409835338592529,0,0
0,4.976513385772705,0,0
0,5.8027379512786865,0,0
0,5.63454532623291,0,0
0,4.939328908920288,0,0
0,5.012980699539185,1,1
0,4.865487098693848,1,0
0,5.720757722854614,7,0
0,5.457324028015137,5,5
0,5.478370666503906,0,0
0,4.9965434074401855,9,0
0,6.494075536727905,0,0
0,6.195141077041626,0,0
0,7.182525873184204,1,1
0,4.743782997131348,0,0
0,5.414201736450195,0,0
0,5.296603202819824,0,0
0,5.923187017440796,3,3
0,5.909842014312744,0,0
0,7.063911437988281,0,0
0,6.75035834312439,20,20
0,6.277602195739746,13,13
0,5.091034173965454,0,0
0,5.174826383590698,0,0
0,5.333948373794556,7,7
0,4.8799967765808105,0,0
0,6.286592960357666,4,4
0,5.653000831604004,0,0
0,6.011794805526733,0,0
0,5.65448784828186,0,0
0,8.49236512184143,0,0
0,4.957478761672974,0,0
0,5.499268054962158,0,0
0,7.214046955108643,0,0
0,5.678431510925293,1,1
0,5.265467643737793,13,0
0,7.338358640670776,0,0
0,6.917189121246338,0,0
0,5.087942600250244,0,0
0,5.619004011154175,0,0
0,7.094218969345093,0,0
0,5.94892692565918,0,0
0,5.119887590408325,0,0
0,6.397674322128296,0,0
0,5.732868194580078,5,5
0,5.981372594833374,0,0
0,6.133011102676392,3,0
0,6.821639776229858,0,0
0,5.46993350982666,0,0
0,7.064227342605591,0,0
0,5.189776659011841,0,0
0,5.443343162536621,0,0
0,7.114853382110596,0,0
0,4.926658630371094,0,0
0,5.4653332233428955,16,16
0,4.6790313720703125,0,0
0,5.8250696659088135,9,0
0,4.9840404987335205,33,33
0,5.3875346183776855,0,0
1,8.862990856170654,0,0
1,8.515256404876709,0,0
1,8.266510009765625,0,0
1,7.1234729290008545,0,0
1,9.041431188583374,0,0
1,7.77478814125061,0,0
1,7.638603448867798,0,0
1,8.632766008377075,0,0
1,19.092732429504395,0,0
1,14.985577583312988,0,0
1,7.63442063331604,0,0
1,7.079391956329346,0,0
1,8.955602645874023,0,0
1,9.060412645339966,0,0
1,10.42387080192566,0,0
1,10.756933212280273,0,0
1,8.418606281280518,0,0
1,8.056753635406494,0,0
1,10.778486251831055,0,0
1,10.959813594818115,0,0
1,7.206467866897583,0,0
1,7.4987311363220215,0,0
1,18.796236515045166,0,0
1,18.49325919151306,0,0
1,17.878371715545654,0,0
1,8.006110668182373,0,0
1,7.356626987457275,0,0
1,7.254936695098877,0,0
1,6.974116563796997,0,0
1,16.778636932373047,0,0
1,15.382644176483154,0,0
1,15.528855085372925,0,0
1,7.939172029495239,0,0
1,12.747227907180786,0,0
1,17.770353078842163,0,0
1,6.942521572113037,0,0
1,9.168089389801025,12,12
1,8.091252088546753,0,0
1,7.331272840499878,0,0
1,7.0782630443573,0,0
1,6.914144039154053,0,0
1,7.617920160293579,0,0
1,18.838637828826904,0,0
1,15.5812246799469,0,0
1,7.326478004455566,0,0
1,13.00011682510376,0,0
1,7.658910036087036,0,0
1,13.105514764785767,0,0
1,7.2174084186553955,0,0
1,9.025524616241455,0,0
1,6.822012186050415,0,0
1,7.41538667678833,0,0
1,7.919943809509277,0,0
1,17.89082145690918,0,0
